paraquestion,SQL,Header
How did the game number 50 end up?,select Score where Game eq 50 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How ended the game number 50?,select Score where Game eq 50 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many different high assists are there for the game played on February 24?,select COUNT(High assists) where Date eq February 24 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many different high assist results are there for the game played on February 24?,select COUNT(High assists) where Date eq February 24 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who made the most high assists during the game played on February 6?,select High assists where Date eq February 6 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Where was the game number 55 played?,select Location Attendance where Game eq 55 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Where was played the game number 55?,select Location Attendance where Game eq 55 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
On what date was game 78 played?,select Date where Game eq 78 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What date was game 78 played?,select Date where Game eq 78 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
On what date was played game 78?,select Date where Game eq 78 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the final score of the game on 9 April?,select Score where Date eq April 9 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who scored the highest points in game 78?,select High points where Game eq 78 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the score when the game is larger than 29.0?,select Score where Game lt 29.0 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When rashard lewis (24) has the highest number of points, who is the team?",select Team where High points eq Rashard Lewis (24) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When rashard lewis (24) has the highest amount of points, who is the team?",select Team where High points eq Rashard Lewis (24) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
When rashard lewis (24) has the highest number of points who is the team?,select Team where High points eq Rashard Lewis (24) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many teams are there when vince carter (24) has the highest points?,select COUNT(Team) where High points eq Vince Carter (24) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When vince carter (24) has the highest points, how many teams are there?",select COUNT(Team) where High points eq Vince Carter (24) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
When vince carter (24) has the highest points how many teams are there?,select COUNT(Team) where High points eq Vince Carter (24) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
In which championship did John Newcombe play in the final against Ken Rosewall?,select Championship where Opponent in the final eq Ken Rosewall ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
What were the scores of the Wimbledon final matches where Newcombe was runner-up?,select Score in the final where Outcome eq Runner-up and Championship eq Wimbledon ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
What year did Newcombe first face Clark Graebner in a final match?,select MIN(Year) where Opponent in the final eq Clark Graebner ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
What was the outcome for Newcombe in the matches he played against Jan Kode?,select Outcome where Opponent in the final eq Jan Kodeš ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
What was the result for Newcombe in the matches he played against Jan Kode?,select Outcome where Opponent in the final eq Jan Kodeš ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
How many writers were in the episode directed by Charles Haid?,select COUNT(Written by) where Directed by eq Charles Haid ,"['Episode #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Viewers (in millions)']"
"Was the original air date of ""Hothead""?","select Original air date where Title eq ""Hothead"" ","['Episode #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Viewers (in millions)']"
Was the title of the episode written by Mark Goffman?,select Title where Written by eq Mark Goffman ,"['Episode #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Viewers (in millions)']"
How many original air dates did episode 12 have?,select COUNT(Original air date) where Episode # eq 12 ,"['Episode #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Viewers (in millions)']"
How many original air dates did Episode 12 have?,select COUNT(Original air date) where Episode # eq 12 ,"['Episode #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Viewers (in millions)']"
How many millions of viewers have watched the episode directed by Christine Moore?,select Viewers (in millions) where Directed by eq Christine Moore ,"['Episode #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Viewers (in millions)']"
Name the date number for w 107–97 (ot),select COUNT(Date) where Score eq W 107–97 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the date for w 107–97 (ot),select COUNT(Date) where Score eq W 107–97 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the number of the date for w 107–97 (ot),select COUNT(Date) where Score eq W 107–97 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Nom the date for 17-32,select Date where Record eq 17-32 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the date for 17-32.,select Date where Record eq 17-32 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the high rebounds for 17-33.,select High rebounds where Record eq 17-33 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the high rebound for 17-33,select High rebounds where Record eq 17-33 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the 19-34 team for 19-34,select Team where Record eq 19-34 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the team for 19-34.,select Team where Record eq 19-34 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"How many models have maximum power output of 162kw (220 ps) at 6,300 rpm?","select COUNT(Model) where Max. power output eq 162kW (220 PS) at 6,300 rpm ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
List the model that can accelerate in 9.2 seconds from 0-62 MPH.,"select Model where 0–100km/h,s 0-62mph,s eq 9.2 ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
List the model with which can accelerate in 9.2 seconds from 0-62 MPH.,"select Model where 0–100km/h,s 0-62mph,s eq 9.2 ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
List the model with that can accelerate in 9.2 seconds from 0-62 MPH.,"select Model where 0–100km/h,s 0-62mph,s eq 9.2 ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
List the amount of carbon emissions for models that go in 8.5 seconds from 0-62 MPH.,"select CO 2 emissions where 0–100km/h,s 0-62mph,s eq 8.5 ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
List the highest power output level for models that go in 8.5 seconds from 0-62 MPH.,"select Max. power output where 0–100km/h,s 0-62mph,s eq 8.5 ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
"List the max power produced for model 2.0 ts with a peak of nm (lbft) at 3,500 rpm.","select Max. power output where Model eq 2.0 TS and Peak torque eq N·m (lb·ft) at 3,500 rpm ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
"List the max power produced for model 2.0 ts with peak of nm (lbft) at 3,500 rpm.","select Max. power output where Model eq 2.0 TS and Peak torque eq N·m (lb·ft) at 3,500 rpm ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
"List the maximum power produced for model 2.0 ts with peak of nm (lbft) at 3,500 rpm.","select Max. power output where Model eq 2.0 TS and Peak torque eq N·m (lb·ft) at 3,500 rpm ","['Model', 'Engine', 'Displacement', 'Max. power output', 'Peak torque', '0–100km/h,s 0-62mph,s', 'Top speed', 'CO 2 emissions', 'Years', 'Note', 'Engine code']"
Who had the highest points in the game with a record of 2-7?,select High points where Record eq 2-7 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What team played the Wizards against when their record was 2-5?,select Team where Record eq 2-5 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who tied the highest point scorer when playing against Phoenix?,select High points where Team eq Phoenix ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who tied for the highest point scorer when playing against Phoenix?,select High points where Team eq Phoenix ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"Which season used the production code ""am10""?",select COUNT(Season #) where Production code eq AM10 ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Production code']"
When did the first episode of Jeremy Kagan air?,select Original air date where Directed by eq Jeremy Kagan ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Production code']"
When did Jeremy Kagan's first episode air?,select Original air date where Directed by eq Jeremy Kagan ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Production code']"
What seasons in series 7 did David E. Kelley write?,select COUNT(Season #) where Written by eq David E. Kelley and Series # eq 7 ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Production code']"
What seasons did David E. Kelley write in series 7?,select COUNT(Season #) where Written by eq David E. Kelley and Series # eq 7 ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Production code']"
What seasons did David E. Kelley write in Series 7?,select COUNT(Season #) where Written by eq David E. Kelley and Series # eq 7 ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date', 'Production code']"
Name the total number of dates for the score being l 106–116 (ot),select COUNT(Date) where Score eq L 106–116 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
