paraquestion,SQL,Header
How many times is a score recorded for stolen ends for France?,select COUNT(Stolen Ends) where Country eq France ,"['Country', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
How many times is a score for stolen ends for France recorded?,select COUNT(Stolen Ends) where Country eq France ,"['Country', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
How many ends were lost by the country whose points for (PF) were 87?,select MAX(Ends Lost) where PF eq 87 ,"['Country', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
What is the maximum 25 to 29 if 30 to 34 is 1357?,select MIN(25 to 29) where 30 to 34 eq 1357 ,"['Children/Women over 15', 'Oblast\\Age of women', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the maximum of 25 to 29 if 30 to 34 is 1357?,select MIN(25 to 29) where 30 to 34 eq 1357 ,"['Children/Women over 15', 'Oblast\\Age of women', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the 25 to 29 amount if 70+ is 2554?,select 25 to 29 where 70+ eq 2554 ,"['Children/Women over 15', 'Oblast\\Age of women', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"If 70+ is 2554, what is the amount 25 to 29?",select 25 to 29 where 70+ eq 2554 ,"['Children/Women over 15', 'Oblast\\Age of women', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
How many seasons was Dave Reid Treasurer?,select COUNT(Season) where Treasurer eq Dave Reid ,"['Season', 'President', 'General Sec', 'Treasurer', 'Fixtures Sec', 'Social Sec Bradford', 'Social Sec Leeds', 'Media Officer']"
When was Jonny Leadbeater president?,select Season where President eq Jonny Leadbeater ,"['Season', 'President', 'General Sec', 'Treasurer', 'Fixtures Sec', 'Social Sec Bradford', 'Social Sec Leeds', 'Media Officer']"
When Jonny Leadbeater was President?,select Season where President eq Jonny Leadbeater ,"['Season', 'President', 'General Sec', 'Treasurer', 'Fixtures Sec', 'Social Sec Bradford', 'Social Sec Leeds', 'Media Officer']"
Who was the skip with the 14 stolen ends?,select Skip where Stolen Ends eq 14 ,"['Locale', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
What is the least number of losses?,select MIN(L) where ,"['Locale', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
What is the lowest number of losses?,select MIN(L) where ,"['Locale', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
What is the smallest number of losses?,select MIN(L) where ,"['Locale', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
What are the shot percentages for teams that played in Switzerland?,select Shot % where Locale eq Switzerland ,"['Locale', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
What is the lowest number of losses for teams that lost 52 games?,select MIN(L) where Ends Lost eq 52 ,"['Locale', 'Skip', 'W', 'L', 'PF', 'PA', 'Ends Won', 'Ends Lost', 'Blank Ends', 'Stolen Ends', 'Shot %']"
When 1509 is the c/w 15+ how many results are there of 15 to 17?,select COUNT(15 to 17) where C/W 15+ eq 1509 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"When 1509 is the c/w 15+, how many results are there of 15 to 17?",select COUNT(15 to 17) where C/W 15+ eq 1509 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
When 2275 is 70+ how many results are there of 40 to 44?,select COUNT(40 to 44) where 70+ eq 2275 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"When 2275 is 70+, how many results are there of 40 to 44?",select COUNT(40 to 44) where 70+ eq 2275 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the result of 18 to 19 when pskov is oblastage?,select 18 to 19 where Oblast\Age eq Pskov ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"When pskov is oblastage, what is the result of 18 to 19?",select 18 to 19 where Oblast\Age eq Pskov ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"When 2073 is 65 to 69, how many results are there of 25 to 29?",select COUNT(25 to 29) where 65 to 69 eq 2073 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
When 2073 is 65 to 69 how many results are there of 25 to 29?,select COUNT(25 to 29) where 65 to 69 eq 2073 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
