paraquestion,SQL,Header
"What are the lowest floors with feet that is larger htan 262, has a name of Standard Bank Building and Metres that is larger htan 138.8?",select MIN(Floors) where Feet lt 262 and Name eq standard bank building and Metres lt 138.8 ,"['Name', 'City', 'Years as tallest', 'Metres', 'Feet', 'Floors']"
"What's the lowest floor with feet that is larger htan 262, has a name of Standard Bank Building and Metres that is larger htan 138.8?",select MIN(Floors) where Feet lt 262 and Name eq standard bank building and Metres lt 138.8 ,"['Name', 'City', 'Years as tallest', 'Metres', 'Feet', 'Floors']"
What is the sum of meters with a foot that is smaller than 196?,select COUNT(Metres) where Feet gt 196 ,"['Name', 'City', 'Years as tallest', 'Metres', 'Feet', 'Floors']"
What is the sum of meter with a foot that is smaller than 196?,select COUNT(Metres) where Feet gt 196 ,"['Name', 'City', 'Years as tallest', 'Metres', 'Feet', 'Floors']"
What is the highest weight of the scrum half of the position?,select MAX(Weight (Kg)) where Position eq scrum half ,"['Player', 'Position', 'Height (m)', 'Weight (Kg)', 'Years']"
"What is the power of the engine with a torque of nm (lbft) at 1,500rpm?","select Power where Torque eq n·m (lb·ft) at1,500rpm ","['Engine', 'Type', 'Displacement', 'Power', 'Torque']"
"What is the power of the engine with a torque of nm (lbft) at 1,500 rpm?","select Power where Torque eq n·m (lb·ft) at1,500rpm ","['Engine', 'Type', 'Displacement', 'Power', 'Torque']"
"What is the power of the engine at 1,500rpm with a torque of nm (lbft)?","select Power where Torque eq n·m (lb·ft) at1,500rpm ","['Engine', 'Type', 'Displacement', 'Power', 'Torque']"
Which torque value is associated with the 1.3 16V Multijet engine?,select Torque where Engine eq 1.3 16v multijet ,"['Engine', 'Type', 'Displacement', 'Power', 'Torque']"
"What is the lowest against value with less than 2 draws, 10 points and less than 4 lost?",select MIN(Against) where Drawn gt 2 and Points eq 10 and Lost gt 4 ,"['Position', 'Team', 'Points', 'Played', 'Drawn', 'Lost', 'Against', 'Difference']"
What is the average position with a value less than 11 against?,select AVG(Position) where Against gt 11 ,"['Position', 'Team', 'Points', 'Played', 'Drawn', 'Lost', 'Against', 'Difference']"
What is the largest value lost with a position greater than 10?,select MAX(Lost) where Position lt 10 ,"['Position', 'Team', 'Points', 'Played', 'Drawn', 'Lost', 'Against', 'Difference']"
What is the total of all lost against values for the Corinthians with less than 3?,select COUNT(Against) where Team eq corinthians and Lost gt 3 ,"['Position', 'Team', 'Points', 'Played', 'Drawn', 'Lost', 'Against', 'Difference']"
What is the total of all lost against values for the Corinthians with less than 3 lost?,select COUNT(Against) where Team eq corinthians and Lost gt 3 ,"['Position', 'Team', 'Points', 'Played', 'Drawn', 'Lost', 'Against', 'Difference']"
What is the lowest value against value with less than 9 points and more than 6 lost?,select MIN(Against) where Points gt 9 and Lost lt 6 ,"['Position', 'Team', 'Points', 'Played', 'Drawn', 'Lost', 'Against', 'Difference']"
What is the lowest against value with less than 9 points lost and more than 6 lost?,select MIN(Against) where Points gt 9 and Lost lt 6 ,"['Position', 'Team', 'Points', 'Played', 'Drawn', 'Lost', 'Against', 'Difference']"
What tournament is mississippi was nov 5,select Tournament where Date eq nov 5 and Location eq mississippi ,"['Date', 'Tournament', 'Location', 'Winner', 'Score', '1st prize ( $ )']"
What tournament is Mississippi was nov 5,select Tournament where Date eq nov 5 and Location eq mississippi ,"['Date', 'Tournament', 'Location', 'Winner', 'Score', '1st prize ( $ )']"
What tournament was located in mississippi was nov 5,select Tournament where Date eq nov 5 and Location eq mississippi ,"['Date', 'Tournament', 'Location', 'Winner', 'Score', '1st prize ( $ )']"
What is the 1st prize for may 21?,select SUM(1st prize ( $ )) where Date eq may 21 ,"['Date', 'Tournament', 'Location', 'Winner', 'Score', '1st prize ( $ )']"
What is the 1st prize for May 21?,select SUM(1st prize ( $ )) where Date eq may 21 ,"['Date', 'Tournament', 'Location', 'Winner', 'Score', '1st prize ( $ )']"
What is the 1st prize for may 21,select SUM(1st prize ( $ )) where Date eq may 21 ,"['Date', 'Tournament', 'Location', 'Winner', 'Score', '1st prize ( $ )']"
